No.;Sentimen;Tweet
392;Positif;b'Pemerintah targetkan IKN dihuni 200 ribu orang pada 2024\n\nGorontalo\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/2BhNAsYmKm'
393;Positif;b'IKN Nusantara merepresentasikan bangsa yang unggul\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/0056g73RCN'
394;Positif;b'Nusa Tenggara Timur\nIKN bawa kemajuan bagi bangsa. \n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/am7Qo5SeWm'
395;Positif;b'Presiden Jokowi meluncurkan Metaverse IKN Nusantara\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/r5QZGQsfMp'
396;Positif;b'mantap ikn akan semakin maju\n.\nIKN Majukan bangsa, Jambi\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/WIUdjczEJ6'
397;Positif;b'RT @raja_andalas: PGI Kukar mendukung penuh pembangunan IKN\nKepulauan Bangka Belitung\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNP\xe2\x80\xa6'
398;Positif;b'RT @KathyJo49714916: @berita_mineral @Merdekasatu1 @maryshelparaiso Masyarakat Jawa Timur Dukung dan Bangga Pembangunan IKN Berdampak Posit\xe2\x80\xa6'
399;Positif;b'RT @raja_andalas: IKN dorong ekonomi Indonesia semakin maju\nKepulauan Bangka Belitung\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNP\xe2\x80\xa6'
400;Positif;b'Pembangunan IKN Nusantara berkonsep Green City\n\nGorontalo\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/XL0GI6cGIf'
401;Positif;b'RT @usharanimuni: Kawan pemindahan IKN Nusantara.\nKepulauan Bangka Belitung\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanE\xe2\x80\xa6'
402;Positif;b'Mari torang dukung dan kawal pembangunan IKN  Nusantara\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/7YRJjIqcOO'
403;Positif;b'RT @usharanimuni: Mari wujudkan pemerataan pembangunan dengan IKN Nusantara.\nKepulauan Bangka Belitung\n\n#KotaDuniaUntukSemua\n#IKNSejahterak\xe2\x80\xa6'
404;Positif;b'Pembangunan IKN Nusantara berkonsep Green City\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/P20wO2hob7'
405;Positif;b'IKN Nusantara sangat didukung masyarakat\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/JORwo8te1t'
406;Positif;b'Mantap!\nTiga manfaat besar IKN untuk perekonomian Indonesia\n\nGorontalo\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/mtcPgkiprs'
407;Positif;b'@Merdekasatu1 @maryshelparaiso Pemindahan IKN Untuk Pemerataan Pembangunan, Jawa Timur Dukung IKN Nusantara\xe2\x80\xa6 https://t.co/qDgRniMKZr'
408;Positif;b'RT @RagilSemar: Diawali dari konsep pendanaan IKN yang menjadikan pemerintah sebagai penyewa di sana. \nTentu ini akal2an oligarki.\nOligarki\xe2\x80\xa6'
409;Positif;b'RT @usharanimuni: IKN akan jadi representasi bangsa yang unggul.\nKepulauan Bangka Belitung\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6'
410;Positif;b'Mantap pak\n.\nIKN Majukan bangsa, Jambi\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/QkZ5mVj5Ft'
411;Positif;b'RT @usharanimuni: Kesejahteraan Indonesia jauh lebih meningkat berkat IKN Nusantara.\nKepulauan Bangka Belitung\n\n#KotaDuniaUntukSemua\n#IKNSe\xe2\x80\xa6'
412;Positif;b'RT @usharanimuni: IKN Nusantara sejahterakan masyarakat Indonesia.\nKepulauan Bangka Belitung\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesi\xe2\x80\xa6'
413;Negatif;b'Jika bapak President seorang yg juga dpt merasakakan kesusahan dan penderitaan Rakyat ,sebaiknya Proyek IKN ditunda\xe2\x80\xa6 https://t.co/EYEvJ9O1pa'
414;Positif;b'Tiga manfaat IKN Nusantara untuk ekonomi negara\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/gJr0uRNp1R'
415;Negatif;b'RT @Kimi58486332: IKN lebih penting dari entaskan Kemiskinan mas Joko @jokowi  ? Menggenaskan masse https://t.co/X6quciisrJ'
416;Positif;b'Pembangunan IKN Nusantara sangat didukung \n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/SO7MU1gJrc'
417;Positif;b'Pemerintah targetkan IKN dihuni 200 ribu orang pada 2024\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/eZjoFAsiEi'
418;Positif;b'IKN berkonsep ramah lingkungan\n.\nIKN Majukan bangsa, Jambi\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/R6qZD6yajV'
419;Positif;b'Presiden Jokowi luncurkan Jagat Nusantara, Metaverse di IKN Nusantara\n\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/nDd6mgIArm'
420;Positif;b'PGI Kutai Kartanegara mendukung pembangunan IKN Nusantara\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/bjQC8neB65'
421;Positif;b'IKN Berkonsep Ramah Lingkungan\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/PBd5utentS'
422;Positif;b'Target pemerintah untuk hunian di IKN Nusantara\nJambi\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/RiZ7Ua1QXJ'
423;Positif;b'Manfaat besar yang diperoleh dari IKN Nusantara\nJambi\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/gofCzhFkAZ'
424;Negatif;b'RT @NetizenBerisik2: Sadarlah rakyat Indonesia,tdk ada waktu lagi tuk berdiam diri.Harus bersatu tolak Omnibuslaw, UU Hip, Uu Ikn,Uu apa pu\xe2\x80\xa6'
425;Positif;b'Bentuk komitmen pemerintah Wujudkan pembangunan berkelanjutan di IKN Nusantara\nJambi\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/mILAxUyrc8'
426;Positif;b'Mantap, pak Jokowi luncurkan Merataverse di IKN Nusantara\nJambi\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/JKOmJBUUJ4'
427;Positif;b'Tiga manfaat besar IKN utk perekonomian Indonesia\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/YBZ6t0D5Lx'
428;Positif;b'Tetap memperhatikan aspek lingkungan menjadi poin penting pembangunan IKN Nusantara\nJambi\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/DOcSUKz8ee'
429;Negatif;"b'RT @Wongkuno2B: Tidak ada Kontrol dari Pemerintah ......apa Jawa SUDAH ditinggalkan ?? pindah IKN "" PANTESAN !!!\n@KemenPU\n@HelmiFelis_\n@Dit\xe2\x80\xa6'"
430;Positif;b'Tiga manfaat besar IKN\n.\nIKN Majukan bangsa, Jambi\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/P3jjVn5vlF'
431;Positif;b'IKN akan berkonsep ramah lingkungan, baik bagi kita semus\nJambi\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/1TO4NZF8EA'
432;Positif;b'Dukungan agar IKN Nusantara menjadi Tap MPR\nJambi\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/E7rrBOpz0X'
433;Positif;b'Konsep Future Smart Forest City disematkan kepada IKN Nusantara\nJambi\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/MhzYGYn61i'
434;Positif;b'Torng dukung pembangunan IKN Nusantara\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/7yEDhi8uHd'
435;Positif;b'pemerintah tergetkan IKN dihuni 200 ribu orang pada 2024\n\nSulawesi Tengah siap jadi daerah penopang IKN\xe2\x80\xa6 https://t.co/uMeHvZff2m'
436;Positif;b'Merepresentasikan bangsa yang unggul lewat IKN Nusantara\nJambi\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/aZJGoQzvgF'
437;Positif;b'PGI kukar MPR RI keluarkan ketetapan tentang IKN nusantara\n\nSulawesi Tengah siap jadi daerah penopang IKN\xe2\x80\xa6 https://t.co/osZCcMj9Hc'
438;Positif;b'IKN Nusantara sebagai wujud kerukunan bangsa Indonesia\nJambi\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/4juEXKpEGg'
439;Positif;b'ibu kota nusantara merupakan jati diri indonesia\n\nSulawesi Tengah siap jadi daerah penopang IKN\xe2\x80\xa6 https://t.co/aYDqIg95NG'
440;Positif;b'tiga manfaat besar IKN untuk perekonomian indonesia\n\nSulawesi Tengah siap jadi daerah penopang IKN\xe2\x80\xa6 https://t.co/T7sxNBgwRD'
441;Positif;b'IKN Nusantara dengan konsep Future Smart Forest City\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/dhz9TCX4Ao'
442;Positif;b'Wahh mantap Mari kita dukung  penuh pembangunan infrastruktur IKN Nusantara\n\n_Warganet Bengkulu_\xe2\x80\xa6 https://t.co/jxn0L9ho7g'
443;Positif;b'Pembangunan IKN berkonsep Green City merupakan bentuk komitmen pemerintah terhadap pembangunan berkelanjutan\xe2\x80\xa6 https://t.co/vXPHqsQ5wo'
444;Negatif;b'Ada data perekonomian Indonesia yg ditutupi,sebaiknya dibuka saja tentang seberapa carut marutnya pengelolaan BPJS\xe2\x80\xa6 https://t.co/nbaimpJPHE'
445;Positif;b'pemerintah tergetkan IKN dihuni 200 ribu orang pada 2024\n\nSulawesi Tengah siap jadi daerah penopang IKN\xe2\x80\xa6 https://t.co/sw5l5ZgbK7'
446;Positif;b'PGI kukar MPR RI keluarkan ketetapan tentang IKN nusantara\n\nSulawesi Tengah siap jadi daerah penopang IKN\xe2\x80\xa6 https://t.co/XuExXHGcnr'
447;Positif;b'Jokowi luncurkan jagat Nusantara, Metaverse di IKN\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/doHopYxXmv'
448;Positif;b'@ariefsyarief07 Masuknya berbagai investasi ke IKN akan membantu masa depan ekonomi #b20 #arsjadrasjid #IKNnusantara #inklusifkolaboratif'
449;Positif;b'RT @ariefsyarief07: Kadin bersama dengan pemerintah mengajak para pengusaha global untuk berinvestasi di IKN nusantara\nArsjad Rasjid #b20 #\xe2\x80\xa6'
450;Positif;b'ibu kota nusantara merupakan jati diri indonesia\n\nSulawesi Tengah siap jadi daerah penopang IKN\xe2\x80\xa6 https://t.co/pjJo30wMVy'
451;Positif;b'Pemerintah targetkan IKN dihuni 200 ribu orang pada 2024\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/wMgh5nRuym'
452;Positif;b'tiga manfaat besar IKN untuk perekonomian indonesia\n\nSulawesi Tengah siap jadi daerah penopang IKN\xe2\x80\xa6 https://t.co/b97QQy9fX2'
453;Positif;b'IKN berkonsep ramah lingkungan\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/vqdD0BL7mw'
454;Positif;b'@ariefsyarief07 Untuk menyambut IKN Nusantara perlu adanya investasi dari para pengusaha global #b20 #arsjadrasjid\xe2\x80\xa6 https://t.co/0TnILCgTJO'
455;Positif;b'Mantap sukseskan pembangunan IKn Nusantara\n\n_Warganet Bengkulu_\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/v2J9DEvfeP'
456;Positif;b'Pembangunan IKN berkonsep Green City merupakan bentuk komitmen pemerintah terhadap pembangunan berkelanjutan\xe2\x80\xa6 https://t.co/JHyGIttZHp'
457;Negatif;b'@PoeAmran @Rusdian10599719 Kan ada realisasi emang mampu memenuhi target dalam waktu 5 tahun bong .. yg 2 periode j\xe2\x80\xa6 https://t.co/0sZJOTv4iO'
458;Positif;b'IKN Nusantara dengan konsep Future Smart Forest City\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/pSxC0HcDPe'
459;Positif;b'IKN berkonsep ramah lingkungan\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/m0QPgH424X'
460;Positif;b'RT @retnosetyow4t: Pemerintah mulai menyusun rencana pengembangan infrastruktur bagi penduduk di Ibu Kota Nusantara (IKN). Dalam keterangan\xe2\x80\xa6'
461;Positif;b'Tiga manfaat besar IKN untuk perekonomian Indonesia\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/1i7Khoz92n'
462;Positif;b'RT @ariefsyarief07: Kadin bersama dengan pemerintah mengajak para pengusaha global untuk berinvestasi di IKN nusantara\nArsjad Rasjid #b20 #\xe2\x80\xa6'
463;Positif;b'IKN Nusantara dengan konsep Future Smart Forest City\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/xGCzXcx40d'
464;Positif;b'RT @ariefsyarief07: Kadin bersama dengan pemerintah mengajak para pengusaha global untuk berinvestasi di IKN nusantara\nArsjad Rasjid #b20 #\xe2\x80\xa6'
465;Positif;b'IKN berkonsep ramah lingkungan\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/tVdzBOkZpt'
466;Positif;b'Mari kita dukung pembangunan IKN Nusantara\n\n_Warganet Bengkulu_\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/yKIZpXoD4T'
467;Positif;b'Pemerintah targetkan IKN dihuni 200 ribu orang pada 2024\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/CQCGS6DnaV'
468;Positif;b'Tiga manfaat besar IKN untuk perekonomian Indonesia\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/tPeulAiP00'
469;Positif;b'Jokowi luncurkan jagat Nusantara, Metaverse di IKN\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/TXAEJDcD2P'
470;Positif;b'pemerintah tergetkan IKN dihuni 200 ribu orang pada 2024\n\nSulawesi Tengah siap jadi daerah penopang IKN\xe2\x80\xa6 https://t.co/MvPIoAXf7Z'
471;Positif;b'PGI kukar MPR RI keluarkan ketetapan tentang IKN nusantara\n\nSulawesi Tengah siap jadi daerah penopang IKN\xe2\x80\xa6 https://t.co/856Rutsnwy'
472;Positif;b'Tiga manfaat besar IKN Nusantara\n\n_Warganet Bengkulu_\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/EkmAC5LHkl'
473;Positif;b'ibu kota nusantara merupakan jati diri indonesia\n\nSulawesi Tengah siap jadi daerah penopang IKN\xe2\x80\xa6 https://t.co/Ia8xQw8tqK'
474;Positif;b'tiga manfaat besar IKN untuk perekonomian indonesia\n\nSulawesi Tengah siap jadi daerah penopang IKN\xe2\x80\xa6 https://t.co/rI1WIYWwbc'
475;Positif;b'RT @RagilSemar: Diawali dari konsep pendanaan IKN yang menjadikan pemerintah sebagai penyewa di sana. \nTentu ini akal2an oligarki.\nOligarki\xe2\x80\xa6'
476;Positif;b'pemerintah tergetkan IKN dihuni 200 ribu orang pada 2024\n\nSulawesi Tengah siap jadi daerah penopang IKN\xe2\x80\xa6 https://t.co/CqmTapClVl'
477;Positif;b'PGI kukar MPR RI keluarkan ketetapan tentang IKN nusantara\n\nSulawesi Tengah siap jadi daerah penopang IKN\xe2\x80\xa6 https://t.co/GxH4z5UGkm'
478;Positif;b'ibu kota nusantara merupakan jati diri indonesia\n\nSulawesi Tengah siap jadi daerah penopang IKN\xe2\x80\xa6 https://t.co/Bu1OAAyHwK'
479;Positif;b'Tiga manfaat besar IKN untuk perekonomian Indonesia\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/prrub67LZg'
480;Positif;b'IKN Nusantara berkonsep ramah lingkungan\n\n_Warganet Bengkulu_\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/gRFAZDCj8q'
481;Positif;b'tiga manfaat besar IKN untuk perekonomian indonesia\n\nSulawesi Tengah siap jadi daerah penopang IKN\xe2\x80\xa6 https://t.co/zh53heXk7G'
482;Positif;b'@Joane24641240 IKN Nusantara tingkatkan perekonomian masyarakat Indonesia #KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/VZZ5ru2AZm'
483;Positif;b'IKN nusantara untuk indonesia\nIKN adalah smart city Indonesia \n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/5Hj1MWhxHe'
484;Positif;b'IKN nusantara untuk indonesia\nIKN adalah smart city Indonesia \n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/myrN6iwwR1'
485;Positif;b'Wapres Temui Bos Dubai Holding, Maruf Amin Ajak Kerja Sama Industri Halal hingga IKN Nusantara\n \n#IKN #IKNNusantara\xe2\x80\xa6 https://t.co/E7jqRLELUL'
486;Positif;b'IKN nusantara untuk indonesia\nIKN adalah smart city Indonesia \n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/fAuUd0JJul'
487;Positif;b'IKN nusantara untuk indonesia\nIKN adalah smart city Indonesia \n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/KyMYPjlCSM'
488;Positif;b'IKN berkonsep ramah lingkungan\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/w14mdN2du3'
489;Positif;b'Mari kita dukung penuh IKN Nusantara\n\n_Warganet Bengkulu_\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/dHEnX9e13i'
490;Positif;b'IKN nusantara untuk indonesia\nIKN adalah smart city Indonesia \n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/I1lP958Hj0'
491;Negatif;"b'RT @t0n1h3r5_83: INGATLAH PARPOL2 YG MENYETUJUI &amp; MENGESYAHKAN IKN . \n\nJANGAN PILIH &amp; TENGGELAMKAN \xe2\x80\xbc\xef\xb8\x8f \n\n#Semangat411TurunkanJokowi \n#Semang\xe2\x80\xa6'"
492;Positif;b'pemerintah tergetkan IKN dihuni 200 ribu orang pada 2024\n\nSulawesi Tengah siap jadi daerah penopang IKN\xe2\x80\xa6 https://t.co/pPfBniEoUV'
493;Positif;b'IKN nusantara untuk indonesia\nIKN adalah smart city Indonesia \n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/Pguykl31Xq'
494;Positif;b'PGI kukar MPR RI keluarkan ketetapan tentang IKN nusantara\n\nSulawesi Tengah siap jadi daerah penopang IKN\xe2\x80\xa6 https://t.co/w8BFO0yTA0'
495;Positif;b'IKN nusantara untuk indonesia\nIKN adalah smart city Indonesia \n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/eNYkO99x3N'
496;Positif;b'Pemerintah targetkan IKN dihuni 200 ribu orang pada 2024\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/uUnn6JKFv0'
497;Positif;b'ibu kota nusantara merupakan jati diri indonesia\n\nSulawesi Tengah siap jadi daerah penopang IKN\xe2\x80\xa6 https://t.co/zaO9gGPAr8'
498;Positif;b'tiga manfaat besar IKN untuk perekonomian indonesia\n\nSulawesi Tengah siap jadi daerah penopang IKN\xe2\x80\xa6 https://t.co/siCFFMAGYR'
499;Positif;b'IKN nusantara untuk indonesia\nIKN adalah smart city Indonesia \n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/LKwcpa6xoq'
500;Positif;b'Pembangunan IKN berkonsep Green City merupakan bentuk komitmen pemerintah terhadap pembangunan berkelanjutan\xe2\x80\xa6 https://t.co/HLI4awPQxK'
501;Positif;b'IKN nusantara untuk indonesia\nIKN adalah smart city Indonesia \n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/CELwEma7J9'
502;Positif;b'Dukung Percepatan Pembangunan IKN yang memberikan dampak Positifbagi masyarakat dan kemajuan ekonomi daerah dan UM\xe2\x80\xa6 https://t.co/cLrmZ9uKO1'
503;Positif;b'Pembangunan IKN Nusantara berkonsep green city\n\n_Warganet Bengkulu_\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/aFeBhbTDdJ'
504;Positif;b'Kami berkomitmen penuh menjaga kondusif wilayah demi kelancaran Pembangunan IKN Nusantara #KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/4IcZ5FD9Nm'
505;Positif;b'Seluruh masyarakat Indonesia, pasti mendukung Pembangunan IKN Nusantara..!! #KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/bTS2f5x5ON'
506;Positif;b'RT @NandaShanum: @KathyJo49714916 @maryshelparaiso Masyarakat Jawa Timur juga optimis dukung pembangunan IKN #JokowiBapakInfrastruktur #Kot\xe2\x80\xa6'
507;Negatif;"b'RT @t0n1h3r5_83: INGATLAH PARPOL2 YG MENYETUJUI &amp; MENGESYAHKAN IKN . \n\nJANGAN PILIH &amp; TENGGELAMKAN \xe2\x80\xbc\xef\xb8\x8f \n\n#Semangat411TurunkanJokowi \n#Semang\xe2\x80\xa6'"
508;Positif;b'RT @fanyastria561: Jokowi luncurkan jagat Nusantara, metaverse di IKN Nusantara\n\n_Warganet Bengkulu_\n#KotaDuniaUntukSemua\n#IKNSejahterakanI\xe2\x80\xa6'
509;Positif;b'Luar biasa, dukungan terus berdatangan dalam proses Pembangunan IKN Nusantara..!!  #KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/mBQ58n4wpd'
510;Positif;b'@NengFira3007 IKN Nusantara memajukan Indonesia\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/n0kz15P1V4'
511;Positif;b'IKN kota masa depan. Dukung Pembangunan IKN #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/vaIgVSwthA'
512;Positif;b'Pemerintah Targetkan IKN Dihuni 20 Ribu Orang Pada 2024.\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/EdOwJWIEG1'
513;Positif;b'pemerintah tergetkan IKN dihuni 200 ribu orang pada 2024\n\nSulawesi Tengah siap jadi daerah penopang IKN\xe2\x80\xa6 https://t.co/XyxA5J91t2'
514;Positif;b'Progres Pembangunan IKN terus menunjukkan kemajuan #KotaDuniaUntukSemua #IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/ZpS59wc5Fu'
515;Positif;b'PGI kukar MPR RI keluarkan ketetapan tentang IKN nusantara\n\nSulawesi Tengah siap jadi daerah penopang IKN\xe2\x80\xa6 https://t.co/4cotgkLZRH'
516;Positif;b'Mantap !! Dukung terus IKN #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/yU4a25m8ke'
517;Positif;b'ibu kota nusantara merupakan jati diri indonesia\n\nSulawesi Tengah siap jadi daerah penopang IKN\xe2\x80\xa6 https://t.co/JhkN48QMMr'
518;Positif;b'Indonesia akan semakin maju dengan IKN #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/yOEGxXSCyI'
519;Positif;b'tiga manfaat besar IKN untuk perekonomian indonesia\n\nSulawesi Tengah siap jadi daerah penopang IKN\xe2\x80\xa6 https://t.co/czeIQrcfJ9'
520;Positif;b'@KathyJo49714916 @maryshelparaiso Masyarakat Jawa Timur juga optimis dukung pembangunan IKN\xe2\x80\xa6 https://t.co/u8ud8T3Ovc'
521;Positif;b'Sukseskan pembangunan IKN Nusantara  #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/4pWbosJlKl'
522;Positif;b'IKN Nusantara luar biasa\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/027CQMmzwu'
523;Positif;b'Semoga Pembangunan IKN Berjalan Lancar #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/IyLGYCzYew'
524;Positif;b'Jokowi luncurkan jagat Nusantara, metaverse di IKN Nusantara\n\n_Warganet Bengkulu_\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/13Zn4ZiF2E'
525;Positif;b'Keren Pembangunan IKN Nusantara akan menjadi kota smart city  #KotaDuniaUntukSemua #IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/W2C1LoQZEb'
526;Positif;b'IKN terbukti membangun Indonesia lebih maju #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/jzN0lELYxs'
527;Negatif;b'@keuangannews_id Kenapa musti ngutus prabowo, jawaban nya sederhana datang sendiri ketemu mas elon untuk invest IKN\xe2\x80\xa6 https://t.co/vCRgsn2lwI'
528;Positif;b'IKN membanggakan Indonesia di mata Dunia  #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/MFvtlYXiyl'
529;Positif;b'pemerintah tergetkan IKN dihuni 200 ribu orang pada 2024\n\nSulawesi Tengah siap jadi daerah penopang IKN\xe2\x80\xa6 https://t.co/sgzOnNg78l'
530;Positif;b'IKN Nusantara wujud pemerataan pembanguna #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/ekS69urLnU'
531;Positif;b'PGI Kukar Dukung MPR RI Keluarkan Ketetapan Tentang IKN Nusantara.\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/tOf4ir7USz'
532;Positif;b'PGI kukar MPR RI keluarkan ketetapan tentang IKN nusantara\n\nSulawesi Tengah siap jadi daerah penopang IKN\xe2\x80\xa6 https://t.co/Xa1VDSjgPy'
